127.0.0.1 - - [23/Jul/2023:10:58:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:58:19 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:58:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:58:29 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [23/Jul/2023:10:58:29 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:14:41 +0530] "GET /JSP/index.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:14:45 +0530] "GET /JSP/first_1.jsp?uname=hoinf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:16:21 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:16:27 +0530] "GET /JSP/first_1.jsp?uname=java HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:16:37 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:16:49 +0530] "GET /JSP/first_1.jsp?uname=javatpoint HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:26:52 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:26:56 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:28:20 +0530] "GET /JSP/index.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:29:40 +0530] "GET /JSP/index.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:29:47 +0530] "GET /JSP/first_1.jsp?uname=java HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:30:13 +0530] "GET /_/mss/boq-one-google/_/ss/k=boq-one-google.OneGoogleWidgetUi.RaA5WmKia3k.L.B1.O/am=AOZu/d=1/ed=1/rs=AM-SdHuK1Lf_kV19wGoYYzcmo9HMwr_xvQ/chrome.css.map HTTP/1.1" 404 940
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:30:13 +0530] "GET /_/mss/boq-search/_/ss/k=boq-search.VisualFrontendUi.HO9EwNN9zts.L.B1.O/am=AAAAAAAAAAiwEQDm__v-_6c9UgwA3JX-__8_QgACAADxAAAEAIAAAnMBACAIAFAAIQEAAKDi-ECCCgCQHiAECCAAaD10nxQAAjj4KAEEyBwAgDAFCAAAABIAwL4ABAAhhhlEgAAAAACAgmseMCAAAAAAAAAAAACASjoEVQwAAAAAAAAAAAAEAJsE/d=1/ed=1/rs=AH7-fg5LBrJQ4f-rZJjYY8Za3_HPoy6qmw/chrome.css.map HTTP/1.1" 404 1111
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:30:24 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:43:27 +0530] "GET /JSP/index.html HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:43:38 +0530] "GET /JSP/first_1.jsp?uname=javatpoint HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:45:23 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:45:29 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:45:34 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:45:38 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:46:25 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:46:27 +0530] "GET /JSP/first_1.jsp?uname=thamizh HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:46:32 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2023:11:48:31 +0530] "GET /JSP/index.html HTTP/1.1" 304 -
